message_id,date,chat_id,sender_id,sender_username,sender_first_name,sender_last_name,sender_phone,text,views,forwards,reply_to_msg_id,media_type,has_hyperlink,group
19552.0,2025-09-02 04:54:46+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"47+ 🥳😍💹🤩😍
First Big Target done 🥳😍💹
More than 90% Returns coming now ✌️🥳💥🔥
Start Booking profits now and Trail SL STRICTLY ✌️🤩💥",3959.0,0.0,19550.0,,False,abhayvarn
19551.0,2025-09-02 04:31:22+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"33+ 🥳😍💹🤩😍
More than 40% Returns coming now ✌️🥳💥🔥
Start Booking profits now and Trail SL STRICTLY ✌️🤩💥",4406.0,0.0,19550.0,,False,abhayvarn
19550.0,2025-09-02 04:24:35+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Hero Zero 

Buy Nifty 24750 CE @ 23 - 28

TARGET - 48 - 68 - 84 - 98

STOP LOSS  - 0",4656.0,3.0,,,False,abhayvarn
19548.0,2025-09-02 04:07:17+00:00,1246174619.0,1246174619.0,abhayvarn,,,,https://www.youtube.com/live/SUodqXwmxMs?si=Ho4TiQ9RXBsdxxgN,4830.0,0.0,,webpage,True,abhayvarn
19547.0,2025-09-02 02:27:26+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Good Newzz before Nifty Weekly Expiry 🤩💥🔥

Option Trading Premium Channel Joining Link is active for 10 Members to get the feedback ✅️😉

https://tinyurl.com/22usq7jn",4974.0,0.0,,webpage,True,abhayvarn
19546.0,2025-09-01 15:41:12+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Nifty, Bank Nifty, and Sensex Prediction for Tomorrow | Top Stocks for Tomorrow | Market Analysis
https://youtu.be/jYiGjYigy8c",5133.0,0.0,,webpage,True,abhayvarn
19545.0,2025-09-01 13:28:03+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Link will be Inactive soon after filling all seats ✌️🤩

**Finally Some Good Newzz**🤩💥🔥

Option Trading Premium Channel Joining Link is active for 10 Members to get the feedback ✅️😉

https://tinyurl.com/22usq7jn

Note :- Please share your feedback that what we can improve after Joining Our Option Trading Premium Channel with us at @CAABHAYVARN

Keep sharing your Feedback @CAABHAYVARN",4948.0,0.0,19544.0,webpage,True,abhayvarn
19544.0,2025-09-01 12:56:10+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"**Finally Some Good Newzz**🤩💥🔥

Option Trading Premium Channel Joining Link is active for 10 Members to get the feedback ✅️😉

https://tinyurl.com/22usq7jn

Note :- Please share your feedback that what we can improve after Joining Our Option Trading Premium Channel with us at @CAABHAYVARN",4627.0,0.0,,webpage,True,abhayvarn
19542.0,2025-09-01 11:24:04+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Premium Channel Joining Link is still Inactive 

We are still working hard to get it done by Today EOD, but no confirmation yet.

Stay Tuned 🤞🙏",4633.0,0.0,19535.0,,False,abhayvarn
19541.0,2025-09-01 04:53:45+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"74.80+🥳😍💹🥳😍
First Big Targets done 🥳😍💹
More than 25 Points Profits coming now 🤩😍💹🥳😍
Start Booking profits now and Trail SL STRICTLY around cost 🤩✌️💹",5359.0,0.0,19538.0,,False,abhayvarn
19540.0,2025-09-01 04:41:35+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"65+🥳😍💹🥳😍
More than 15 Points Profits coming now 🤩😍💹🥳😍
Start Booking profits now and Trail SL STRICTLY around cost 🤩✌️💹",5367.0,1.0,19538.0,,False,abhayvarn
19539.0,2025-09-01 04:32:17+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"1249+ 😍💥😍💥
Near Second big Target  ✔️😍
Trading near All Time High 😍💥😍
More than 20% Returns coming now 🤩🔥💹😍
Keep Riding with Trailing SL 🤩😍💥😍",5449.0,0.0,19408.0,,False,abhayvarn
19538.0,2025-09-01 04:26:46+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"High Risk with Max 1 Lot

Buy Nifty 24550 PE @ 47 - 53

TARGET- 68 - 83 - 96 - 118 - 155 - 186 - 220

Stop Loss - 25 - 0",5417.0,4.0,,,False,abhayvarn
19537.0,2025-09-01 03:46:38+00:00,1246174619.0,1246174619.0,abhayvarn,,,,https://www.youtube.com/live/uHW-W07443w?si=FuwOIDqLKmdv1tZw,5504.0,2.0,,webpage,True,abhayvarn
19536.0,2025-09-01 03:02:54+00:00,1246174619.0,1246174619.0,abhayvarn,,,,"Will Come Live on YouTube and Calls will be posted here 

Unmute this Channel and stay Tuned ✌️🙏🔥",5140.0,0.0,19535.0,,False,abhayvarn
